"","Tickers","Names"
"57","ACII","(ATLAS CREST INVESTMENT CORP. II CLASS A COMMON STOCK)"
"58","ACIU","(AC Immune SA)"
"59","ACIW","(ACI Worldwide)"
"60","ACLS","(Axcelis Technologies)"
"61","ACLX","(ARCELLX INC. COMMON STOCK)"
"62","ACM","(AECOM)"
"63","ACN","(Accenture plc)"
"64","ACNB","(Acnb)"
"65","ACON","(ACLARION INC. COMMON STOCK)"
"66","ACONW","(ACLARION INC. WARRANT)"
"67","ACOR","(ACORDA THERAPEUTICS INC. COMMON STOCK)"
"68","ACP","(ABERDEEN INCOME CREDIT STRATEGIES FUND COMMON SHARES)"
"69","ACQR","(Independence Holdings)"
"70","ACQRW","(INDEPENDENCE HOLDINGS CORP. WARRANT)"
"71","ACR","(ACRES COMMERCIAL REALTY CORP. COMMON STOCK)"
"72","ACRE","(Ares Commercial Real)"
"73","ACRX","(Acelrx Pharmaceuticals)"
"74","ACST","(ACASTI PHARMA INC. CLASS A COMMON STOCK)"
"75","ACTD","(ARCLIGHT CLEAN TRANSITION CORP. II CLASS A ORDINARY SHARE)"
"76","ACTDU","(ARCLIGHT CLEAN TRANSITION CORP. II UNIT)"
"77","ACTDW","(ARCLIGHT CLEAN TRANSITION CORP. II WARRANT)"
"78","ACTG","(Acacia Research)"
"79","ACU","(ACME UNITED CORPORATION. COMMON STOCK)"
"80","ACV","(Alberto-Culver Co.)"
"81","ACVA","(ACV Auctions)"
"82","ACXP","(Acurx Pharmaceuticals)"
"83","ADAG","(Adagene)"
"84","ADAP","(ADAPTIMMUNE THERAPEUTICS PLC AMERICAN DEPOSITARY SHARES)"
"85","ADBE","(Adobe Systems Inc)"
"86","ADC","(Agree Realty Corporation)"
"87","ADES","(Advanced Emissions Solutions)"
"88","ADGI","(Adagio Therapeutics)"
"89","ADI","(Analog Devices)"
"90","ADIL","(ADIAL PHARMACEUTICALS INC COMMON STOCK)"
"91","ADILW","(ADIAL PHARMACEUTICALS INC WARRANT)"
"92","ADM","(Archer-Daniels-Midland Co)"
"93","ADMA","(Adma Biologics Cmn)"
"94","ADMP","(ADAMIS PHARMACEUTICALS CORPORATION COMMON STOCK)"
"95","ADN","(ADVENT TECHNOLOGIES HOLDINGS INC. CLASS A COMMON STOCK)"
"96","ADNT","(Adient)"
"97","ADNWW","(ADVENT TECHNOLOGIES HOLDINGS INC. WARRANT)"
"98","ADP","(Automatic Data Processing)"
"99","ADPT","(Adaptive Biotechnologies Corporation)"
"100","ADRT","(AULT DISRUPTIVE TECHNOLOGIES CORPORATION COMMON STOCK)"
"101","ADSE","(ADS-TEC ENERGY PLC ORDINARY SHARES)"
"102","ADSEW","(ADS-TEC ENERGY PLC WARRANT)"
"103","ADSK","(Autodesk)"
"104","ADT","(ADT)"
"105","ADTH","(ADTHEORENT HOLDING COMPANY INC. COMMON STOCK)"
"106","ADTHW","(ADTHEORENT HOLDING COMPANY INC. WARRANTS)"
"107","ADTN","(Adtran)"
"108","ADTX","(Aditx Therapeutics)"
"109","ADUS","(Addus Homecare)"
"110","ADV","(Advantage Solutions Inc. Class A Common Stock)"
"111","ADVM","(Adverum Biotechnologies)"
"112","ADVWW","(ADVANTAGE SOLUTIONS INC. WARRANT)"
"113","ADX","(ADAMS DIVERSIFIED EQUITY FUND INC.)"
"114","ADXN","(ADDEX THERAPEUTICS LTD AMERICAN DEPOSITARY SHARES)"
"115","AE","(Adams Resources)"
"116","AEE","(Ameren Corp)"
"117","AEF","(ABERDEEN EMERGING MARKETS EQUITY INCOME FUND INC. COMMON STOCK)"
"118","AEG","(Aegon N.V.)"
"119","AEHL","(ANTELOPE ENTERPRISE HOLDINGS LIMITED COMMON STOCK (0.024 PAR))"
"120","AEHR","(AEHR TEST SYSTEMS COMMON STOCK)"
"121","AEI","(ALSET EHOME INTERNATIONAL INC. COMMON STOCK)"
"122","AEIS","(Advanced Energy Inds)"
"123","AEL","(American Equity Investment Life Holding Company)"
"124","AEM","(Agnico Eagle Mines Limited)"
"125","AEMD","(AETHLON MEDICAL INC. COMMON STOCK)"
"126","AENZ","(AENZA S.A.A. AMERICAN DEPOSITARY SHARES)"
"127","AEO","(American Eagle Outfitters)"
"128","AEP","(American Electric Power)"
"129","AEPPZ","(AMERICAN ELECTRIC POWER COMPANY INC. CORPORATE UNITS)"
"130","AER","(AerCap Holdings N.V.)"
"131","AERC","(AEROCLEAN TECHNOLOGIES INC. COMMON STOCK)"
"132","AES","(AES Corp)"
"133","AESC","(THE AES CORPORATION CORPORATE UNITS)"
"134","AESE","(ALLIED ESPORTS ENTERTAINMENT INC. COMMON STOCK)"
"135","AEY","(ADDVANTAGE TECHNOLOGIES GROUP INC. COMMON STOCK)"
"136","AEYE","(AUDIOEYE INC. COMMON STOCK)"
"137","AEZS","(AETERNA ZENTARIS INC. COMMON STOCK)"
"138","AFB","(ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND INC)"
"139","AFBI","(AFFINITY BANCSHARES INC. COMMON STOCK (MD))"
"140","AFCG","(AFC Gamma)"
"141","AFG","(American Financial Group)"
"142","AFGE","(AMERICAN FINANCIAL GROUP INC. 4.500% SUBORDINATED DEBENTURES DUE 2060)"
"143","AFIB","(Acutus Medical)"
"144","AFL","(AFLAC Inc)"
"145","AFMD","(Affimed N.V.)"
"146","AFRI","(FORAFRIC GLOBAL PLC ORDINARY SHARES)"
"147","AFRIW","(FORAFRIC GLOBAL PLC WARRANTS)"
"148","AFRM","(Affirm)"
"149","AFT","(APOLLO SENIOR FLOATING RATE FUND INC. COMMON STOCK)"
"150","AFYA","(Afya Limited)"
"151","AG","(First Majestic Silver)"
"152","AGCO","(AGCO Corporation)"
"153","AGD","(ABERDEEN GLOBAL DYNAMIC DIVIDEND FUND)"
"154","AGE","(AGEX THERAPEUTICS INC. COMMON STOCK)"
"155","AGEN","(Agenus)"
"156","AGFS","(Agrofresh Solutions)"
"157","AGFY","(Agrify)"
"158","AGGR","(AGILE GROWTH CORP. CLASS A ORDINARY SHARE)"
"159","AGGRU","(AGILE GROWTH CORP. UNITS)"
"160","AGGRW","(AGILE GROWTH CORP. WARRANT.)"
"161","AGI","(Alamos Gold)"
"162","AGIL","(AGILETHOUGHT INC. CLASS A COMMON STOCK)"
"163","AGILW","(AGILETHOUGHT INC. WARRANT)"
"164","AGIO","(Agios Pharmaceuticals)"
"165","AGL","(agilon health)"
"166","AGLE","(Aeglea Biotherapeutics)"
"167","AGM","(Federal Agricultural Mortgage)"
"168","AGM.C","(FEDERAL AGRICULTURAL MORTGAGE CORPORATION PREFERRED SERIES C FIXED TO FLTG)"
"169","AGMH","(AGM GROUP HOLDINGS INC. CLASS A ORDINARY SHARES)"
"170","AGNC","(AGNC Investment)"
"171","AGNCN","(AGNC INVESTMENT CORP. DEPOSITARY SHARES EACH REPRESENTING A 1/1000TH INTEREST IN A SHARE OF 7.00% SERIES C FIXED-TO-FLOATING RATE CUMULATIVE REDEEMABLE PREFERRED STOCK)"
"172","AGNCP","(AGNC INVESTMENT CORP. DEPOSITARY SHARES EACH REPRESENTING A 1/1000TH INTEREST IN A SHARE OF 6.125% SERIES F FIXED-TO-FLOATING RATE CUMULATIVE REDEEMABLE PREFERRED STOCK)"
"173","AGO","(Assured Guaranty Ltd.)"
"174","AGR","(Avangrid)"
"175","AGRI","(AgriFORCE Growing Systems)"
"176","AGRIW","(AGRIFORCE GROWING SYSTEMS LTD. WARRANT)"
"177","AGRO","(ADECOAGRO S.A.)"
"178","AGS","(Playags)"
"179","AGTC","(Applied Genetic Technologies c)"
"180","AGTI","(Agiliti)"
"181","AGX","(Argan)"
"182","AGYS","(Agilysys)"
"183","AHCO","(Adapthealth Corp)"
"184","AHG","(AKSO HEALTH GROUP ADS)"
"185","AHH","(Armada Hoffler Properties)"
"186","AHI","(ADVANCED HUMAN IMAGING LIMITED. AMERICAN DEPOSITARY SHARES)"
"187","AHPI","(ALLIED HEALTHCARE PRODUCTS INC. COMMON STOCK)"
"188","AHT","(ASHFORD HOSPITALITY TRUST INC COMMON STOCK)"
"189","AI","(C3 ai)"
"190","AIF","(APOLLO TACTICAL INCOME FUND INC. COMMON STOCK)"
"191","AIG","(American International Group)"
"192","AIH","(AESTHETIC MEDICAL INTERNATIONAL HOLDINGS GROUP LTD. AMERICAN DEPOSITARY SHARES)"
"193","AIHS","(SENMIAO TECHNOLOGY LIMITED COMMON STOCK)"
"194","AIKI","(AIKIDO PHARMA INC. COMMON STOCK)"
"195","AIM","(AIM IMMUNOTECH INC. COMMON STOCK)"
"196","AIMAW","(AIMFINITY INVESTMENT CORP. I WARRANT)"
"197","AIMC","(Altra Industrial Motion)"
"198","AIN","(Albany International)"
"199","AINC","(ASHFORD INC. (HOLDING COMPANY) COMMON STOCK)"
"200","AINV","(Apollo Investment Corp)"
"201","AIO","(VIRTUS ARTIFICIAL INTELLIGENCE & TECHNOLOGY OPPORTUNITIES FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"202","AIP","(ARTERIS INC. COMMON STOCK)"
"203","AIR","(Aar)"
"204","AIRC","(Taxable Apartment Income REIT)"
"205","AIRG","(AIRGAIN INC. COMMON STOCK)"
"206","AIRI","(AIR INDUSTRIES GROUP COMMON STOCK)"
"207","AIRS","(AIRSCULPT TECHNOLOGIES INC. COMMON STOCK)"
"208","AIRT","(AIR T INC. COMMON STOCK)"
"209","AIRTP","(AIR T INC. AIR T FUNDING ALPHA INCOME TRUST PREFERRED SECURITIES)"
"210","AIT","(Applied Industrial Technologies)"
"211","AIU","(META DATA LIMITED ADS)"
"212","AIV","(Apartment Investment & Management)"
"213","AIZ","(Assurant)"
"214","AJG","(Arthur J. Gallagher & Co.)"
"215","AJRD","(Aerojet Rocketdyne Holdings)"
"216","AJX","(Great Ajax Corp)"
"217","AKA","(a.k.a. Brands Holding Corp.)"
"218","AKAM","(Akamai Technologies Inc)"
"219","AKAN","(AKANDA CORP. COMMON SHARES)"
"220","AKO.A","(EMBOTELLADORA ANDINA S.A.)"
"221","AKO.B","(EMBOTELLADORA ANDINA S.A.)"
"222","AKR","(Acadia Realty Trust)"
"223","AKRO","(Akero Therapeutics)"
"224","AKTS","(Akoustis Technologies)"
"225","AKTX","(AKARI THERAPEUTICS PLC ADS)"
"226","AKU","(AKUMIN INC. COMMON SHARES)"
"227","AKUS","(Akouos)"
"228","AKYA","(Akoya Biosciences)"
"229","AL","(Air Lease Corporation)"
"230","ALB","(Albemarle Corp)"
"231","ALBO","(Albireo Pharma)"
"232","ALC","(Alcon)"
"233","ALCO","(Alico)"
"234","ALE","(ALLETE)"
"235","ALEC","(Alector)"
"236","ALEX","(Alexander & Baldwin)"
"237","ALF","(ALFI)"
"238","ALFIW","(ALFI INC. WARRANT)"
"239","ALG","(Alamo Group)"
"240","ALGM","(ALLEGRO MICROSYSTEMS)"
"241","ALGN","(Align Technology)"
"242","ALGS","(Aligos Therapeutics)"
"243","ALGT","(Allegiant Travel)"
"244","ALHC","(Alignment Healthcare)"
"245","ALIM","(ALIMERA SCIENCES INC. COMMON STOCK)"
"246","ALJJ","(ALJ REGIONAL HOLDINGS INC. COMMON STOCK)"
"247","ALK","(Alaska Air Group Inc)"
"248","ALKS","(Alkermes plc)"
"249","ALKT","(Alkami Technology)"
"250","ALL","(Allstate Corp)"
"251","ALL.G","(ALLSTATE CORPORATION (THE) DEPOSITARY SHARES EACH REPRESENTING A 1/1000TH INTEREST IN A SHARE OF FIXED RATE NONCUMULATIVE PERPETUAL PREFERRED STOCK SERIES G)"
"252","ALL.H","(ALLSTATE CORPORATION (THE) DEPOSITARY SHARES EACH REPRESENTING A 1/1000TH INTEREST IN A SHARE OF FIXED RATE NONCUMULATIVE PERPETUAL PREFERRED STOCK SERIES H)"
"253","ALL.I","(ALLSTATE CORPORATION (THE) DEPOSITARY SHARES EACH REPRESENTING A 1/1000TH INTEREST IN A SHARE OF FIXED RATE NONCUMULATIVE PERPETUAL PREFERRED STOCK SERIES I)"
"254","ALLE","(Allegion)"
"255","ALLG","(Allego N.V.)"
"256","ALLK","(Allakos)"
"257","ALLO","(Allogene Therapeutics)"
"258","ALLR","(ALLARITY THERAPEUTICS INC. COMMON STOCK)"
"259","ALLT","(ALLOT LTD. ORDINARY SHARES)"
"260","ALLY","(Ally Financial)"
"261","ALNA","(ALLENA PHARMACEUTICALS INC. COMMON STOCK)"
"262","ALNY","(Alnylam Pharmaceuticals)"
"263","ALOT","(ASTRONOVA INC. COMMON STOCK)"
"264","ALPN","(ALPINE IMMUNE SCIENCES INC. COMMON STOCK)"
"265","ALPP","(ALPINE 4 HOLDINGS INC. CLASS A COMMON STOCK)"
"266","ALR","(ALERISLIFE INC. COMMON STOCK)"
"267","ALRM","(Alarm.com Holdings)"
"268","ALRN","(AILERON THERAPEUTICS INC. COMMON STOCK)"
"269","ALRS","(Alerus Finl Corp)"
"270","ALSN","(Allison Transmission Holdings)"
"271","ALTG","(Alta Equipment Group)"
"272","ALTR","(ALTAIR ENGINEERING)"
"273","ALV","(Autoliv)"
"274","ALVO","(ALVOTECH ORDINARY SHARES)"
"275","ALVOW","(ALVOTECH WARRANT)"
"276","ALVR","(AlloVir)"
"277","ALX","(Alexander's)"
"278","ALXO","(ALX Oncology Holdings)"
"279","ALYA","(ALITHYA GROUP INC. CLASS A SUBORDINATE VOTING SHARES)"
"280","ALZN","(Alzamend Neuro)"
"281","AM","(Antero Midstream Corporation)"
"282","AMAL","(Amalgamated Bank)"
"283","AMAM","(Ambrx Biopharma)"
"284","AMAT","(Applied Materials)"
"285","AMBA","(Ambarella)"
"286","AMBC","(Ambac Financial Group)"
"287","AMBO","(AMBOW EDUCATION HOLDING LTD. AMERICAN DEPOSITORY SHARES EACH REPRESENTING TWO CLASS A ORDINARY SHARES)"
"288","AMBP","(ARDAGH METAL PACKAGING S.A. ORDINARY SHARES)"
"289","AMC","(Amc Entertainment)"
"290","AMCR","(AMCOR PLC)"
"291","AMCX","(Amc Networks)"
"292","AMD","(Advanced Micro Devices Inc)"
"293","AME","(AMETEK)"
"294","AMED","(Amedisys)"
"295","AMEH","(Apollo Medical)"
"296","AMG","(Affiliated Managers Group Inc)"
"297","AMGN","(Amgen)"
"298","AMH","(American Homes 4 Rent)"
"299","AMH.G","(AMERICAN HOMES 4 RENT SERIES G CUMULATIVE REDEEMABLE PERPETUAL PREFERRED SHARES OF BENEFICIAL INTEREST)"
"300","AMH.H","(AMERICAN HOMES 4 RENT SERIES H CUMULATIVE REDEEMABLE PERPETUAL PREFERRED SHARES OF BENEFICIAL INTEREST)"
"301","AMK","(Assetmark Financial)"
"302","AMKR","(Amkor Technology)"
"303","AMN","(AMN Healthcare Services)"
"304","AMNB","(American National)"
"305","AMOT","(Allied Motion)"
"306","AMOV","(AMERICA MOVIL S.A.B. DE C.V. CLASS A AMERICAN DEPOSITARY SHARES)"
"307","AMP","(Ameriprise Financial)"
"308","AMPE","(AMPIO PHARMACEUTICALS INC.)"
"309","AMPG","(AMPLITECH GROUP INC. COMMON STOCK)"
"310","AMPH","(Amphastar Pharmaceuticals)"
"311","AMPI","(ADVANCED MERGER PARTNERS INC. CLASS A COMMON STOCK)"
"312","AMPS","(ALTUS POWER INC. CLASS A COMMON STOCK)"
"313","AMPY","(AMPLIFY ENERGY CORP. COMMON STOCK)"
"314","AMRC","(Ameresco)"
"315","AMRN","(Amarin Corporation plc)"
"316","AMRS","(Amyris)"
"317","AMRX","(Amneal Pharmaceuticals)"
"318","AMS","(AMERICAN SHARED HOSPITAL SERVICES COMMON STOCK)"
"319","AMSC","(American Superconductor Corpor)"
"320","AMSF","(Amerisafe)"
"321","AMST","(Amesite)"
"322","AMSWA","(American Software)"
"323","AMT","(American Tower)"
"324","AMTB","(Amerant Bancorp)"
"325","AMTI","(Applied Molecular Transport)"
"326","AMTX","(AEMETIS INC. (DE) COMMON STOCK)"
"327","AMWD","(American Woodmark)"
"328","AMWL","(Amwell Health)"
"329","AMX","(AMERICA MOVIL S.A.B. DE C.V. AMERICAN DEPOSITORY RECEIPT SERIES L)"
"330","AMYT","(AMRYT PHARMA PLC AMERICAN DEPOSITARY SHARES)"
"331","AMZN","(Amazon.com)"
"332","AN","(AUTONATION)"
"333","ANAB","(Anaptysbio)"
"334","ANDE","(Andersons)"
"335","ANEB","(Anebulo Pharmaceuticals)"
"336","ANET","(Arista Networks)"
"337","ANF","(ABERCROMBIE & FITCH COMPANY)"
"338","ANGH","(ANGHAMI INC. ORDINARY SHARES)"
"339","ANGHW","(ANGHAMI INC. WARRANTS)"
"340","ANGI","(ANGI Homeservices)"
"341","ANGN","(Angion Biomedica)"
"342","ANGO","(Angiodynamics)"
"343","ANIK","(Anika Therapeutics)"
"344","ANIP","(Ani Pharmaceuticals)"
"345","ANIX","(ANIXA BIOSCIENCES INC. COMMON STOCK)"
"346","ANNX","(Annexon Biosciences)"
"347","ANPC","(AnPac Bio-Medical Science)"
"348","ANSS","(ANSYS)"
"349","ANTE","(AIRNET TECHNOLOGY INC. AMERICAN DEPOSITARY SHARES)"
"350","ANTX","(AN2 THERAPEUTICS INC. COMMON STOCK)"
"351","ANVS","(Annovis Bio)"
"352","ANY","(Sphere 3D Corp. Common Shares)"
"353","AOD","(ABERDEEN TOTAL DYNAMIC DIVIDEND FUND COMMON STOCK)"
"354","AOMR","(Angel Oak Mortgage)"
"355","AON","(Aon plc)"
"356","AORT","(ARTIVION INC. COMMON STOCK)"
"357","AOS","(A.O. Smith Corp)"
"358","AOSL","(Alpha & Omega)"
"359","AOUT","(American Outdoor Brands)"
"360","AP","(AMPCO-PITTSBURGH CORPORATION COMMON STOCK)"
"361","APA","(Apache Corporation)"
"362","APAM","(Artisan Partners Asset Management)"
"363","APCX","(APPTECH PAYMENTS CORP. COMMON STOCK)"
"364","APCXW","(APPTECH PAYMENTS CORP. WARRANT)"
"365","APD","(Air Products & Chemicals Inc)"
"366","APDN","(APPLIED DNA SCIENCES INC. COMMON STOCK)"
"367","APEI","(American Public Education)"
"368","APEN","(APOLLO ENDOSURGERY INC. COMMON STOCK)"
"369","APGB","(APOLLO STRATEGIC GROWTH CAPITAL II CLASS A ORDINARY SHARES)"
"370","APH","(Amphenol Corp)"
"371","API","(Agora)"
"372","APLD","(APPLIED BLOCKCHAIN INC. COMMON STOCK)"
"373","APLE","(Apple Hospitality REIT)"
"374","APLS","(Apellis Pharmaceuticals)"
"375","APLT","(Applied Therapeutics)"
"376","APM","(APTORUM GROUP LIMITED CLASS A ORDINARY SHARES)"
"377","APN","(APEIRON CAPITAL INVESTMENT CORP. CLASS A COMMON STOCK)"
"378","APO","(Apollo Global Management)"
"379","APOG","(Apogee Enterprises)"
"380","APP","(Applovin)"
"381","APPF","(Appfolio)"
"382","APPHW","(APPHARVEST INC. WARRANTS)"
"383","APPN","(Appian Corporation)"
"384","APPS","(Digital Turbine)"
"385","APRE","(Aprea Therapeutics)"
"386","APRN","(BLUE APRON HOLDINGS INC. CLASS A COMMON STOCK)"
"387","APT","(Alpha Pro Tech)"
"388","APTM","(ALPHA PARTNERS TECHNOLOGY MERGER CORP. CLASS A ORDINARY SHARES)"
"389","APTMW","(ALPHA PARTNERS TECHNOLOGY MERGER CORP. WARRANT)"
"390","APTO","(APTOSE BIOSCIENCES INC. COMMON SHARES)"
"391","APTV","(Aptiv Plc)"
"392","APTX","(Aptinyx)"
"393","APVO","(Aptevo Therapeutics)"
"394","APWC","(ASIA PACIFIC WIRE & CABLE CORPORATION LTD. ORDINARY SHARES (BERMUDA))"
"395","APYX","(Apyx Medical Corp)"
"396","AQB","(AquaBounty Technologies)"
"397","AQMS","(AQUA METALS INC. COMMON STOCK)"
"398","AQN","(Algonquin Power & Utilities)"
"399","AQNU","(ALGONQUIN POWER & UTILITIES CORP. CORPORATE UNITS)"
"400","AQST","(Aquestive Therapeutics)"
"401","AQUA","(Evoqua Water Technologies)"
"402","AR","(Antero Resources Corp)"
"403","ARAV","(Aravive)"
"404","ARAY","(Accuray)"
"405","ARBE","(Arbe Robotics Ltd. Ordinary Shares)"
"406","ARBEW","(ARBE ROBOTICS LTD. WARRANT)"
"407","ARBK","(ARGO BLOCKCHAIN PLC AMERICAN DEPOSITARY SHARES)"
"408","ARC","(ARC DOCUMENT SOLUTIONS INC. COMMON STOCK)"
"409","ARCC","(Ares Capital Corporation)"
"410","ARCE","(Arco Platform Limited)"
"411","ARCH","(Arch Resources)"
"412","ARCK","(ARBOR RAPHA CAPITAL BIOHOLDINGS CORP. I CLASS A COMMON STOCK)"
"413","ARCKU","(ARBOR RAPHA CAPITAL BIOHOLDINGS CORP. I UNITS)"
"414","ARCKW","(ARBOR RAPHA CAPITAL BIOHOLDINGS CORP. I WARRANTS)"
"415","ARCO","(ARCOS DORADOS HOLDINGS INC.)"
"416","ARCT","(Arcturus Therapeutics)"
"417","ARDC","(ARES DYNAMIC CREDIT ALLOCATION FUND INC. COMMON SHARES)"
"418","ARDS","(ARIDIS PHARMACEUTICALS INC. COMMON STOCK)"
"419","ARDX","(Ardelyx)"
"420","ARE","(Alexandria Real Estate Equities)"
"421","AREB","(AMERICAN REBEL HOLDINGS INC. COMMON STOCK)"
"422","AREBW","(AMERICAN REBEL HOLDINGS INC. WARRANTS)"
"423","AREC","(AMERICAN RESOURCES CORPORATION CLASS A COMMON STOCK)"
"424","AREN","(THE ARENA GROUP HOLDINGS INC. COMMON STOCK)"
"425","ARES","(Ares Management Corporation)"
"426","ARGO","(Argo Group International)"
"427","ARGU","(ARGUS CAPITAL CORP. CLASS A COMMON STOCK)"
"428","ARGUW","(ARGUS CAPITAL CORP. WARRANT)"
"429","ARGX","(argenx SE)"
"430","ARHS","(Arhaus)"
"431","ARI","(Apollo Commercial)"
"432","ARIS","(ARIS WATER SOLUTIONS INC. CLASS A COMMON STOCK)"
"433","ARKO","(ARKO Corp. Common Stock)"
"434","ARKOW","(ARKO CORP. WARRANT)"
"435","ARKR","(ARK RESTAURANTS CORP. COMMON STOCK)"
"436","ARL","(American Realty Investors)"
"437","ARLO","(Arlo Technologies)"
"438","ARLP","(Alliance Resource Partners LP)"
"439","ARMK","(Aramark)"
"440","ARMP","(ARMATA PHARMACEUTICALS INC. COMMON STOCK)"
"441","ARNC","(Arconic)"
"442","AROC","(Archrock)"
"443","AROW","(Arrow Financial)"
"444","ARQQ","(ARQIT QUANTUM INC. ORDINARY SHARES)"
"445","ARQQW","(ARQIT QUANTUM INC. WARRANTS)"
"446","ARQT","(Arcutis Biotherapeutics)"
"447","ARR","(Armour Residential Reit)"
"448","ARRY","(Array Technologies)"
"449","ARTE","(ARTEMIS STRATEGIC INVESTMENT CORPORATION CLASS A COMMON STOCK)"
"450","ARTEU","(ARTEMIS STRATEGIC INVESTMENT CORPORATION UNIT)"
"451","ARTEW","(ARTEMIS STRATEGIC INVESTMENT CORPORATION WARRANT)"
"452","ARTL","(ARTELO BIOSCIENCES INC. COMMON STOCK)"
"453","ARTLW","(ARTELO BIOSCIENCES INC. WARRANT)"
"454","ARTNA","(Artesian Resource)"
"455","ARTW","(ART'S-WAY MANUFACTURING CO. INC. COMMON STOCK)"
"456","ARVL","(Arrival Ordinary Shares)"
"457","ARVN","(Arvinas)"
"458","ARW","(Arrow Electronics)"
"459","ARWR","(Arrowhead Pharmaceuticals)"
"460","ASA","(ASA GOLD AND PRECIOUS METALS LIMITED)"
"461","ASAI","(SENDAS DISTRIBUIDORA S A ADS)"
"462","ASAN","(Asana)"
"463","ASB","(Associated Banc-Corp)"
"464","ASC","(Ardmore Shipping Corp)"
"465","ASG","(LIBERTY ALL-STAR GROWTH FUND INC.)"
"466","ASGI","(ABERDEEN STANDARD GLOBAL INFRASTRUCTURE INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"467","ASGN","(ASGN Incorporated)"
"468","ASH","(ASHLAND GLOBAL HOLDINGS)"
"469","ASIX","(Advansix)"
"470","ASLE","(AerSale Corporation Common Stock)"
"471","ASLN","(ASLAN PHARMACEUTICALS LIMITED AMERICAN DEPOSITARY SHARES)"
"472","ASM","(AVINO SILVER & GOLD MINES LTD. COMMON SHARES (CANADA))"
"473","ASML","(ASML Holding)"
"474","ASND","(ASCENDIS PHARMA A/S AMERICAN DEPOSITARY SHARES)"
"475","ASNS","(ACTELIS NETWORKS INC. COMMON STOCK)"
"476","ASO","(AmSouth Ban)"
"477","ASPN","(Aspen Aerogels)"
"478","ASPS","(Altisource Portfolio)"
"479","ASPU","(Aspen Group)"
"480","ASR","(GRUPO AEROPORTUARIO DEL SURESTE S.A. DE C.V. COMMON STOCK)"
"481","ASRT","(ASSERTIO HOLDINGS INC. COMMON STOCK)"
"482","ASRV","(AMERISERV FINANCIAL INC. COMMON STOCK)"
"483","ASTC","(ASTROTECH CORPORATION (DE) COMMON STOCK)"
"484","ASTE","(Astec Industries)"
"485","ASTL","(Algoma Steel Group Inc. Common Shares)"
